,evaporation,rainfall
2009-06-27 18:00:00,0.78,0.0
2009-06-27 19:00:00,0.78,0.005
2009-06-27 20:00:00,0.78,0.026
2009-06-27 21:00:00,0.78,0.038
2009-06-27 22:00:00,0.78,0.038
2009-06-27 23:00:00,0.78,0.038
2009-06-28 00:00:00,0.78,0.076
2009-06-28 01:00:00,0.78,0.086
2009-06-28 02:00:00,0.78,0.109
2009-06-28 03:00:00,0.78,0.213
2009-06-28 04:00:00,0.78,0.276
2009-06-28 05:00:00,0.78,0.288
2009-06-28 06:00:00,0.78,0.297
2009-06-28 07:00:00,0.78,0.642
2009-06-28 08:00:00,0.78,1.799
2009-06-28 09:00:00,0.78,1.236
2009-06-28 10:00:00,0.78,2.138
2009-06-28 11:00:00,0.78,0.921
2009-06-28 12:00:00,0.78,0.497
2009-06-28 13:00:00,0.78,0.685
2009-06-28 14:00:00,0.78,0.828
2009-06-28 15:00:00,0.78,0.41
2009-06-28 16:00:00,0.78,0.0
2009-06-28 17:00:00,0.78,0.0
2009-06-28 18:00:00,0.78,0.0
2009-06-28 19:00:00,0.78,0.0
2009-06-28 20:00:00,0.78,0.0
2009-06-28 21:00:00,0.78,0.0
2009-06-28 22:00:00,0.77,0.0
2009-06-28 23:00:00,0.75,0.0
2009-06-29 00:00:00,0.73,0.0
2009-06-29 01:00:00,0.71,0.0
2009-06-29 02:00:00,0.68,0.0
2009-06-29 03:00:00,0.65,0.0
2009-06-29 04:00:00,0.63,0.0
2009-06-29 05:00:00,0.61,0.0
2009-06-29 06:00:00,0.59,0.0
2009-06-29 07:00:00,0.58,0.0
2009-06-29 08:00:00,0.58,0.0
2009-06-29 09:00:00,0.58,0.0
2009-06-29 10:00:00,0.58,0.0
2009-06-29 11:00:00,0.58,0.0
2009-06-29 12:00:00,0.58,0.0
2009-06-29 13:00:00,0.58,0.0
2009-06-29 14:00:00,0.58,0.0
2009-06-29 15:00:00,0.58,0.0
2009-06-29 16:00:00,0.58,0.0
2009-06-29 17:00:00,0.58,0.0
2009-06-29 18:00:00,0.58,0.0
2009-06-29 19:00:00,0.58,0.0
2009-06-29 20:00:00,0.58,0.0
2009-06-29 21:00:00,0.58,0.0
2009-06-29 22:00:00,0.58,0.0
2009-06-29 23:00:00,0.58,0.0
2009-06-30 00:00:00,0.58,0.0
2009-06-30 01:00:00,0.58,0.0
2009-06-30 02:00:00,0.58,0.0
2009-06-30 03:00:00,0.58,0.0
2009-06-30 04:00:00,0.58,0.0
2009-06-30 05:00:00,0.58,0.0
2009-06-30 06:00:00,0.58,0.0
2009-06-30 07:00:00,0.58,0.0
2009-06-30 08:00:00,0.58,0.0
2009-06-30 09:00:00,0.58,0.0
2009-06-30 10:00:00,0.58,0.0
2009-06-30 11:00:00,0.58,0.0
2009-06-30 12:00:00,0.58,0.0
2009-06-30 13:00:00,0.58,0.0
2009-06-30 14:00:00,0.58,0.0
2009-06-30 15:00:00,0.58,0.0
2009-06-30 16:00:00,0.58,0.0
2009-06-30 17:00:00,0.58,0.0
2009-06-30 18:00:00,0.58,0.0
2009-06-30 19:00:00,0.58,0.0
2009-06-30 20:00:00,0.58,0.0
2009-06-30 21:00:00,0.58,0.0
2009-06-30 22:00:00,0.58,0.0
2009-06-30 23:00:00,0.58,0.0
2009-07-01 00:00:00,0.58,0.0
2009-07-01 01:00:00,0.58,0.0
2009-07-01 02:00:00,0.58,0.0
2009-07-01 03:00:00,0.58,0.0
2009-07-01 04:00:00,0.58,0.0
2009-07-01 05:00:00,0.58,0.0
2009-07-01 06:00:00,0.58,0.0
2009-07-01 07:00:00,0.58,0.0
2009-07-01 08:00:00,0.58,0.0
2009-07-01 09:00:00,0.58,0.0
2009-07-01 10:00:00,0.57,0.0
2009-07-01 11:00:00,0.57,0.0
2009-07-01 12:00:00,0.57,0.0
2009-07-01 13:00:00,0.56,0.0
2009-07-01 14:00:00,0.55,0.0
2009-07-01 15:00:00,0.55,0.0
2009-07-01 16:00:00,0.54,0.0
2009-07-01 17:00:00,0.54,0.0
2009-07-01 18:00:00,0.53,0.0
2009-07-01 19:00:00,0.52,0.0
2009-07-01 20:00:00,0.52,0.0
2009-07-01 21:00:00,0.51,0.0
2009-07-01 22:00:00,0.51,0.0
2009-07-01 23:00:00,0.5,0.0
2009-07-02 00:00:00,0.5,0.0
2009-07-02 01:00:00,0.49,0.0
2009-07-02 02:00:00,0.48,0.0
2009-07-02 03:00:00,0.48,0.0
2009-07-02 04:00:00,0.47,0.0
2009-07-02 05:00:00,0.47,0.0
2009-07-02 06:00:00,0.47,0.0
2009-07-02 07:00:00,0.46,0.0
2009-07-02 08:00:00,0.46,0.0
2009-07-02 09:00:00,0.46,0.0
2009-07-02 10:00:00,0.46,0.0
2009-07-02 11:00:00,0.46,0.0
2009-07-02 12:00:00,0.46,0.0
2009-07-02 13:00:00,0.46,0.0
2009-07-02 14:00:00,0.46,0.0
2009-07-02 15:00:00,0.46,0.0
2009-07-02 16:00:00,0.46,0.0
2009-07-02 17:00:00,0.46,0.0
2009-07-02 18:00:00,0.46,0.0
2009-07-02 19:00:00,0.46,0.0
2009-07-02 20:00:00,0.46,0.0
2009-07-02 21:00:00,0.46,0.0
2009-07-02 22:00:00,0.46,0.0
2009-07-02 23:00:00,0.46,0.0
2009-07-03 00:00:00,0.46,0.0
2009-07-03 01:00:00,0.46,0.0
2009-07-03 02:00:00,0.46,0.0
2009-07-03 03:00:00,0.46,0.0
2009-07-03 04:00:00,0.46,0.0
2009-07-03 05:00:00,0.46,0.0
2009-07-03 06:00:00,0.46,0.0
2009-07-03 07:00:00,0.46,0.0
2009-07-03 08:00:00,0.46,0.0
2009-07-03 09:00:00,0.46,0.0
2009-07-03 10:00:00,0.46,0.0
2009-07-03 11:00:00,0.46,0.0
2009-07-03 12:00:00,0.46,0.0
2009-07-03 13:00:00,0.46,0.0
2009-07-03 14:00:00,0.46,0.0
2009-07-03 15:00:00,0.46,0.0
2009-07-03 16:00:00,0.46,0.0
2009-07-03 17:00:00,0.46,0.0
2009-07-03 18:00:00,0.46,0.0
2009-07-03 19:00:00,0.46,0.0
2009-07-03 20:00:00,0.46,0.0
2009-07-03 21:00:00,0.52,0.0
2009-07-03 22:00:00,0.67,0.0
2009-07-03 23:00:00,0.9,0.0
2009-07-04 00:00:00,1.19,0.0
2009-07-04 01:00:00,1.52,0.0
2009-07-04 02:00:00,1.87,0.0
2009-07-04 03:00:00,2.22,0.0
2009-07-04 04:00:00,2.55,0.0
2009-07-04 05:00:00,2.84,0.0
2009-07-04 06:00:00,3.07,0.0
2009-07-04 07:00:00,3.22,0.0
2009-07-04 08:00:00,3.28,0.0
2009-07-04 09:00:00,3.28,0.0
2009-07-04 10:00:00,3.28,0.0
2009-07-04 11:00:00,3.28,0.0
2009-07-04 12:00:00,3.28,0.0
2009-07-04 13:00:00,3.28,0.0
2009-07-04 14:00:00,3.28,0.0
2009-07-04 15:00:00,3.28,0.0
2009-07-04 16:00:00,3.28,0.0
2009-07-04 17:00:00,3.28,0.0
2009-07-04 18:00:00,3.28,0.0
2009-07-04 19:00:00,3.28,0.0
2009-07-04 20:00:00,3.28,0.0
2009-07-04 21:00:00,3.24,0.0
2009-07-04 22:00:00,3.13,0.0
2009-07-04 23:00:00,2.97,0.0
2009-07-05 00:00:00,2.77,0.0
2009-07-05 01:00:00,2.54,0.0
2009-07-05 02:00:00,2.3,0.0
2009-07-05 03:00:00,2.05,0.0
2009-07-05 04:00:00,1.82,0.0
2009-07-05 05:00:00,1.62,0.0
2009-07-05 06:00:00,1.46,0.0
2009-07-05 07:00:00,1.35,0.0
2009-07-05 08:00:00,1.31,0.0
2009-07-05 09:00:00,1.31,0.0
2009-07-05 10:00:00,1.31,0.0
2009-07-05 11:00:00,1.31,0.0
2009-07-05 12:00:00,1.31,0.0
2009-07-05 13:00:00,1.31,0.0
2009-07-05 14:00:00,1.31,0.0
2009-07-05 15:00:00,1.31,0.0
2009-07-05 16:00:00,1.31,0.0
2009-07-05 17:00:00,1.31,0.0
2009-07-05 18:00:00,1.31,0.0
2009-07-05 19:00:00,1.31,0.0
2009-07-05 20:00:00,1.31,0.0
2009-07-05 21:00:00,1.31,0.0
2009-07-05 22:00:00,1.31,0.0
2009-07-05 23:00:00,1.31,0.0
2009-07-06 00:00:00,1.31,0.0
2009-07-06 01:00:00,1.31,0.0
2009-07-06 02:00:00,1.31,0.0
2009-07-06 03:00:00,1.31,0.0
2009-07-06 04:00:00,1.31,0.0
2009-07-06 05:00:00,1.31,0.0
2009-07-06 06:00:00,1.31,0.0
2009-07-06 07:00:00,1.31,0.0
2009-07-06 08:00:00,1.31,0.0
2009-07-06 09:00:00,1.31,0.0
2009-07-06 10:00:00,1.31,0.0
2009-07-06 11:00:00,1.31,0.0
2009-07-06 12:00:00,1.31,0.0
2009-07-06 13:00:00,1.31,0.0
2009-07-06 14:00:00,1.31,0.0
2009-07-06 15:00:00,1.31,0.0
2009-07-06 16:00:00,1.31,0.0
2009-07-06 17:00:00,1.31,0.0
2009-07-06 18:00:00,1.31,0.0
2009-07-06 19:00:00,1.31,0.0
2009-07-06 20:00:00,1.31,0.0
2009-07-06 21:00:00,1.3,0.0
2009-07-06 22:00:00,1.26,0.0
2009-07-06 23:00:00,1.21,0.018
2009-07-07 00:00:00,1.14,0.024
2009-07-07 01:00:00,1.06,0.024
2009-07-07 02:00:00,0.97,0.024
2009-07-07 03:00:00,0.89,0.024
2009-07-07 04:00:00,0.81,0.006
2009-07-07 05:00:00,0.74,0.003
2009-07-07 06:00:00,0.69,0.046
2009-07-07 07:00:00,0.65,0.046
2009-07-07 08:00:00,0.64,0.046
2009-07-07 09:00:00,0.64,0.046
2009-07-07 10:00:00,0.64,0.043
2009-07-07 11:00:00,0.64,0.0
2009-07-07 12:00:00,0.64,0.0
2009-07-07 13:00:00,0.64,0.0
2009-07-07 14:00:00,0.64,0.0
2009-07-07 15:00:00,0.64,0.0
2009-07-07 16:00:00,0.64,0.0
2009-07-07 17:00:00,0.64,0.0
2009-07-07 18:00:00,0.64,0.0
2009-07-07 19:00:00,0.64,0.0
2009-07-07 20:00:00,0.64,0.0
2009-07-07 21:00:00,0.64,0.0
2009-07-07 22:00:00,0.64,0.0
2009-07-07 23:00:00,0.64,0.0
2009-07-08 00:00:00,0.64,0.0
2009-07-08 01:00:00,0.64,0.0
2009-07-08 02:00:00,0.64,0.0
2009-07-08 03:00:00,0.64,0.0
2009-07-08 04:00:00,0.64,0.0
2009-07-08 05:00:00,0.64,0.204
2009-07-08 06:00:00,0.64,0.303
2009-07-08 07:00:00,0.64,1.028
2009-07-08 08:00:00,0.64,1.328
